Image,Offers,Link,Date
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/GRT_Jewllers_logo.png,"Flat 1.5% off on gold jewellery orders above ₹20,000. Max discount is ₹1,500.",https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=245,30th September 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/GRT_Jewllers_logo.png,₹250 off on orders of ₹2500 & above on Silver jewellery.,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=244,30th September 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Gehna_logo.png,Flat 2000 INR Off Purchase of 25K and Above,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=243,31st October 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Gehna_logo.png,Flat 1000 INR Off Purchase of 15K and above,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=242,31st October 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Kalyan_logo.png,"Flat ₹8000 on a minimum purchase of ₹1,00,000 on Diamond Jewellery",https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=241,31st March 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Puma_logo.png,Flat 5% Off Sitewide,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=240,31st December 2024
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Kalyan_logo.png,"Flat 25% off on making charges on a minimum purchase of ₹75,000 on Gold Jewellery.",https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=239,31st March 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Appolo_logo.png,30% discount on Diagnostic bookings. Offer Valid on all RuPay Cards.,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=235,1st October 2024 to 31st March 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Appolo_logo.png,15% discount on medicines on MOV ₹1250.Offer Valid on all RuPay Cards.,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=234,1st October 2024 to 31st March 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Appolo_logo.png,50% off on 12 months Circle Membership. Offer Valid on all RuPay Cards.,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=233,1st October 2024 to 31st March 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Lakme-Salon-logo.png,₹300 off on Minimum Purchase Value of ₹1000,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=231,21st August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/BookMyScans-logo.png,25% off on Silver & Platinum Package,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=230,21st August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/The-Clarks-Hotel-logo.png,25% off on Rooms,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=229,05th September 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/The-Clarks-Hotel-logo.png,20% off on Food & Soft Beverages,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=228,05th September 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Home4U-logo.png,10% off on Total Bill,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=227,18th September 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Mokobara-logo.png,10% off on Total Bill,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=226,18th September 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/HOUSE-OF-RARE-logo.png,Flat 10% off on minimum order value of ₹5000 or above,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=225,20th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/INDIA-MAGS-logo.png,Get 4% off on Magazine Subscriptions,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=224,20th August 2024 to 31st July 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Zomato-dining-logo.png,15% instant cashback upto ₹1200 on RCC on UPI transactions on Zomato Dining (MOV : 3000) as Zomato Money,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=223,30th March 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/MFT_257.png,Flat 10% off,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=222,25th March 2024 to 31st March 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Duroflex_257.png,Additional 10% off,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=221,26th March 2024 to 31st March 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Flo_257.png,Free Snooze Kit (Set of 2 Eye Masks),https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=220,24th March 2024 to 31st March 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/257-Daily.png,Additional 10% off,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=219,23rd March 2024 to 15th March 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/257_Zoomcar.png,Flat 20% off upto ₹1000/-,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=218,21st March 2024 to 30th June 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Healthkart_257.png,Additional 10% off,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=217,20th March 2024 to 31st March 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Interflora.png,Flat 20% Off on a minimum purchase of ₹1999,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=216,22nd April 2024 to 31st March 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/Masqua.png,Flat 20% off on ₹1000 & above. Maximum discount capping ₹500.,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=215,22nd April 2024 to 31st March 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/logo-size_Surat.png,18% Exclusive Discount for RuPay Card Customers,https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=214,8th May 2024 to 8th May 2025
https://www.rupay.co.in/images/rupay/rupay-festive-carnival/logo/melorra_logo.jpg,"Get Flat ₹7000 Off on Diamond Jewellery, Minimum Billing ₹90,000/-",https://www.rupay.co.in/rupay-festive-carnival/rupay-festive-carnival-detail?id=213,9th May 2024 to 8th May 2025
